Code,Name,Date,Open,High,Low,Close,Change,Volume,Turnover,Trades
1101,台泥,2025-10-01,24.3,24.5,23.7,23.8,-0.2,42802396,1028476473,14574
1101,台泥,2025-10-02,24,24.05,23.65,23.75,-0.05,21523173,512668326,6788
1101,台泥,2025-10-03,23.85,24.1,23.7,23.7,-0.05,23168217,552635966,7695
1101,台泥,2025-10-07,23.65,23.75,23.45,23.6,-0.1,31336510,738611761,10000
1101,台泥,2025-10-08,23.6,23.75,23.4,23.4,-0.2,21925139,514833822,8358
1101,台泥,2025-10-09,23.45,23.7,23.4,23.45,0.05,18455320,433545010,6798
1101,台泥,2025-10-13,23.1,23.25,22.75,23,-0.45,32976034,758429809,13273
1101,台泥,2025-10-14,23.1,23.3,22.8,22.9,-0.1,25371337,584351078,9476
1101,台泥,2025-10-15,23,23.15,22.9,22.95,0.05,19381560,445352624,6300
1101,台泥,2025-10-16,23.05,23.25,22.95,23,0.05,13340758,307546051,4854
1101,台泥,2025-10-17,23,23.6,23,23.35,0.35,33315894,777986349,8600
1101,台泥,2025-10-20,23.5,23.8,23.15,23.25,-0.1,22244742,519451487,8600
1101,台泥,2025-10-21,23.35,23.35,22.85,22.9,-0.35,24423223,562121624,10737
1101,台泥,2025-10-22,22.95,23.15,22.9,22.95,0.05,15962992,367120363,5588
1101,台泥,2025-10-23,23.05,23.2,22.85,23.05,0.1,12272913,282663463,4700
1101,台泥,2025-09-01,22.3,22.7,22.25,22.35,-0.1,19170872,430165229,8064
1101,台泥,2025-09-02,22.35,22.45,22.05,22.1,-0.25,26563110,589377218,12753
1101,台泥,2025-09-03,22.25,22.55,22.2,22.35,0.25,16378731,366529073,6991
1101,台泥,2025-09-04,22.4,22.7,22.35,22.65,0.3,18286009,412041788,6328
1101,台泥,2025-09-05,22.7,22.75,22.45,22.65,0,12688197,287372577,5681
1101,台泥,2025-09-08,22.5,22.5,22.05,22.3,-0.35,35223119,781934980,14704
1101,台泥,2025-09-09,22.35,22.45,22.15,22.4,0.1,36296148,808794121,11212
1101,台泥,2025-09-10,22.45,23,22.25,22.95,0.55,45743034,1037247088,14760
1101,台泥,2025-09-11,23,23,22.3,22.3,-0.65,32677659,736285672,12656
1101,台泥,2025-09-12,22.35,22.55,22.2,22.35,0.05,27808628,621577915,8066
1101,台泥,2025-09-15,22.45,22.6,22.3,22.35,0,19014937,425989302,5767
1101,台泥,2025-09-16,22.35,22.45,22.2,22.25,-0.1,13490117,301084271,4979
1101,台泥,2025-09-17,22.3,22.5,22.2,22.2,-0.05,24236146,540149870,7921
1101,台泥,2025-09-18,22.3,22.4,22.2,22.2,0,21563887,480555909,5875
1101,台泥,2025-09-19,22.2,23.35,22.15,23.35,1.15,189463031,4387661838,14622
1101,台泥,2025-09-22,23.45,24.7,23.1,24.6,1.25,144904986,3472333042,44068
1101,台泥,2025-09-23,24.05,24.05,23.5,23.75,-0.85,66096545,1571012503,23423
1101,台泥,2025-09-24,23.75,23.75,23.4,23.45,-0.3,36320099,853552071,12727
1101,台泥,2025-09-25,23.5,24.3,23.5,23.95,0.5,50316369,1208323257,16562
1101,台泥,2025-09-26,23.9,23.95,23.55,23.8,-0.15,26848861,637193705,9530
1101,台泥,2025-09-30,24.1,24.4,23.9,24,0.2,39101788,942891701,10364
1101,台泥,2025-08-01,24.15,24.35,24,24.15,-0.15,11575724,280093088,5671
1101,台泥,2025-08-04,24,24.15,23.75,24.15,0,14124654,338242233,6500
1101,台泥,2025-08-05,24.2,24.55,24.15,24.45,0.3,12711519,310092220,5363
1101,台泥,2025-08-06,24.45,24.5,24.3,24.35,-0.1,6790212,165581936,3345
1101,台泥,2025-08-07,24.4,24.5,24.3,24.3,-0.05,7354770,179392311,3649
1101,台泥,2025-08-08,24.35,24.55,24.25,24.35,0.05,9677836,235923903,4067
1101,台泥,2025-08-11,24.35,24.9,24.2,24.6,0.25,15471976,380768688,6012
1101,台泥,2025-08-12,24.6,25.15,24.55,24.75,0.15,15715129,390589860,6209
1101,台泥,2025-08-13,0,0,0,0,0,0,0,0
1101,台泥,2025-08-14,23,23.8,22.65,23.8,0,73515862,1720298077,28463
1101,台泥,2025-08-15,23.7,23.75,23.35,23.7,-0.1,35558069,836249201,14894
1101,台泥,2025-08-18,23.7,24.1,23.5,23.9,0.2,38172033,906985607,12926
1101,台泥,2025-08-19,23.85,23.95,23.3,23.3,-0.6,38577907,903132567,14130
1101,台泥,2025-08-20,23.35,23.5,23.05,23.35,0.05,30283028,704289446,9741
1101,台泥,2025-08-21,23.4,23.5,23.15,23.2,-0.15,29698001,689925834,10998
1101,台泥,2025-08-22,23.4,23.55,23,23.1,-0.1,39143289,894189104,12948
1101,台泥,2025-08-25,23.3,23.3,22.95,23.3,0.2,23852714,551663204,8069
1101,台泥,2025-08-26,23.2,23.35,22.95,23.1,-0.2,38543601,889838314,9927
1101,台泥,2025-08-27,23.1,23.15,23,23,-0.1,20760816,478319769,8661
1101,台泥,2025-08-28,23,23.05,22.8,22.8,-0.2,27213030,622008697,12837
1101,台泥,2025-08-29,22.8,22.8,22.35,22.45,-0.35,41530248,936752093,19683
1101,台泥,2025-07-01,25.8,26.6,25.55,26.15,0.65,54915619,1431632448,18571
1101,台泥,2025-07-02,25.55,25.65,25.15,25.25,0,21251256,537409584,9753
1101,台泥,2025-07-03,25.3,25.45,25.2,25.35,0.1,13115130,332167353,5768
1102,亞泥,2025-10-01,38.2,38.25,37.25,37.35,-0.8,5673328,213777313,4023
1102,亞泥,2025-10-02,37.35,37.55,37.05,37.2,-0.15,3712436,138058867,2292
1102,亞泥,2025-10-03,37.4,37.5,37.05,37.35,0.15,3189891,119083550,1770
1102,亞泥,2025-10-07,37.3,37.65,36.9,37.35,0,3489115,130521916,1922
1102,亞泥,2025-10-08,37.45,37.6,37.2,37.3,-0.05,3221766,120513092,1944
1102,亞泥,2025-10-09,37.3,37.45,37.1,37.15,-0.15,2864561,106565767,1568
1102,亞泥,2025-10-13,37.1,37.15,36.35,36.95,-0.2,4985043,183574812,3150
1102,亞泥,2025-10-14,36.75,37.25,36.75,36.85,-0.1,5140240,190299584,2539
