Code,Name,PEratio,DividendYield,PBratio,FinancialStatementYear,FinancialStatementQuarter,Date
1101,台泥,23.01,4.22,0.83,,,1140815
1102,亞泥,13.97,5.58,0.85,,,1140815
1103,嘉泥,114.17,4.01,0.51,,,1140815
1104,環泥,12.55,6.10,0.86,,,1140815
1108,幸福,6.67,4.87,1.12,,,1140815
1109,信大,16.82,5.57,0.70,,,1140815
1110,東泥,33.77,1.68,1.09,,,1140815
1201,味全,22.94,3.21,1.09,,,1140815
1203,味王,21.45,3.01,1.62,,,1140815
1210,大成,13.54,5.21,1.93,,,1140815
1213,大飲,1.44,2.79,1.05,,,1140815
1215,卜蜂,14.33,3.50,3.55,,,1140815
1216,統一,22.51,3.81,3.84,,,1140815
1217,愛之味,78.57,3.36,0.78,,,1140815
1218,泰山,13.00,7.16,0.73,,,1140815
1219,福壽,51.48,3.60,1.07,,,1140815
1220,台榮,38.97,5.28,1.02,,,1140815
1225,福懋油,22.00,2.24,1.92,,,1140815
1227,佳格,19.31,4.56,1.64,,,1140815
1229,聯華,19.62,3.85,1.63,,,1140815
1231,聯華食,40.71,1.74,6.28,,,1140815
1232,大統益,19.23,4.70,4.59,,,1140815
1233,天仁,38.99,3.08,2.10,,,1140815
1234,黑松,17.63,4.77,0.87,,,1140815
1235,興泰,,3.96,0.90,,,1140815
1236,宏亞,,2.86,0.73,,,1140815
1256,鮮活果汁-KY,14.78,4.00,1.13,,,1140815
1301,台塑,,1.26,0.95,,,1140815
1303,南亞,,1.63,1.08,,,1140815
1304,台聚,,1.82,0.65,,,1140815
1305,華夏,,1.30,0.85,,,1140815
1307,三芳,11.26,8.29,1.49,,,1140815
1308,亞聚,,2.01,0.72,,,1140815
1309,台達化,,1.69,0.84,,,1140815
1310,台苯,,,0.73,,,1140815
1312,國喬,,,0.39,,,1140815
1313,聯成,,1.47,0.55,,,1140815
1314,中石化,,,0.36,,,1140815
1315,達新,98.66,7.56,0.71,,,1140815
1316,上曜,,,1.18,,,1140815
1319,東陽,14.62,5.25,2.30,,,1140815
1321,大洋,,1.00,1.45,,,1140815
1323,永裕,9.75,4.57,0.76,,,1140815
1324,地球,,1.86,0.90,,,1140815
1325,恆大,,1.05,0.94,,,1140815
1326,台化,,1.69,0.67,,,1140815
1337,再生-KY,,,0.35,,,1140815
1338,廣華-KY,,3.39,0.31,,,1140815
1339,昭輝,20.93,6.51,0.89,,,1140815
1340,勝悅-KY,,,0.31,,,1140815
1341,富林-KY,12.57,8.00,2.76,,,1140815
1342,八貫,15.40,5.60,2.97,,,1140815
1402,遠東新,17.90,5.77,0.69,,,1140815
1409,新纖,21.76,3.73,0.70,,,1140815
1410,南染,151.30,1.47,2.12,,,1140815
1413,宏洲,32.78,,1.40,,,1140815
1414,東和,145.83,1.31,1.25,,,1140815
1416,廣豐,18.63,4.85,0.53,,,1140815
1417,嘉裕,,,0.65,,,1140815
1418,東華,478.00,,1.07,,,1140815
1419,新紡,16.13,2.81,1.06,,,1140815
1423,利華,19.89,2.13,1.10,,,1140815
1432,大魯閣,,,1.93,,,1140815
1434,福懋,21.92,5.00,0.78,,,1140815
1435,中福,,,3.82,,,1140815
1436,華友聯,4.46,17.55,1.76,,,1140815
1437,勤益控,19.31,4.57,0.75,,,1140815
1438,三地開發,,,1.46,,,1140815
1439,雋揚,12.71,1.03,0.95,,,1140815
1440,南紡,,2.18,0.85,,,1140815
1441,大東,,,1.72,,,1140815
1442,名軒,12.46,6.69,3.23,,,1140815
1443,立益物流,40.53,,1.81,,,1140815
1444,力麗,,,0.62,,,1140815
1445,大宇,,3.31,0.94,,,1140815
1446,宏和,3.19,8.83,1.13,,,1140815
1447,力鵬,,,0.61,,,1140815
1449,佳和,66.94,,0.63,,,1140815
1451,年興,10.91,5.56,0.51,,,1140815
1452,宏益,,4.20,0.59,,,1140815
1453,大將,,2.27,1.02,,,1140815
1454,台富,,1.73,1.22,,,1140815
1455,集盛,,,0.80,,,1140815
1456,怡華,8.52,,0.74,,,1140815
1457,宜進,16.35,5.88,0.77,,,1140815
1459,聯發,28.33,,1.20,,,1140815
1460,宏遠,,,0.77,,,1140815
1463,強盛新,6.06,10.47,1.33,,,1140815
1464,得力,22.04,7.90,1.03,,,1140815
1465,偉全,,4.48,0.91,,,1140815
1466,聚隆,,,1.21,,,1140815
1467,南緯,,,0.69,,,1140815
1468,昶和,,,1.80,,,1140815
1470,大統新創,35.53,4.99,1.82,,,1140815
1471,首利,,,1.09,,,1140815
1472,三洋實業,17.87,3.17,2.31,,,1140815
1473,台南,13.46,7.91,1.01,,,1140815
1474,弘裕,75.29,3.13,0.83,,,1140815
1475,業旺,10.88,10.64,1.64,,,1140815
1476,儒鴻,19.86,4.08,4.43,,,1140815
1477,聚陽,16.52,6.35,4.95,,,1140815
1503,士電,27.96,2.58,2.52,,,1140815
1504,東元,21.02,3.96,1.70,,,1140815
1506,正道,228.00,,1.25,,,1140815
1512,瑞利,,,1.32,,,1140815
1513,中興電,22.76,2.78,4.39,,,1140815
1514,亞力,38.50,1.80,4.87,,,1140815
1515,力山,,3.35,1.49,,,1140815
1516,川飛,,,2.80,,,1140815
1517,利奇,,1.92,0.68,,,1140815
1519,華城,40.05,1.61,23.19,,,1140815
1521,大億,50.30,3.98,1.06,,,1140815
1522,堤維西,33.46,7.06,1.64,,,1140815
1524,耿鼎,10.52,7.86,1.72,,,1140815
1525,江申,16.72,4.53,1.11,,,1140815
1526,日馳,,,0.83,,,1140815
1527,鑽全,23.15,6.65,0.99,,,1140815
1528,恩德,,0.51,1.81,,,1140815
1529,樂事綠能,44.75,0.74,2.31,,,1140815
1530,亞崴,,5.25,0.91,,,1140815
1531,高林股,,3.35,0.64,,,1140815
1532,勤美,,6.69,0.78,,,1140815
1533,車王電,,,1.41,,,1140815
1535,中宇,14.42,5.23,2.05,,,1140815
1536,和大,,1.21,2.32,,,1140815
1537,廣隆,14.98,7.29,3.07,,,1140815
1538,正峰,,,5.62,,,1140815
1539,巨庭,,4.55,0.79,,,1140815
1540,喬福,35.72,5.89,1.66,,,1140815
1541,錩泰,200.77,1.92,1.07,,,1140815
1558,伸興,18.32,6.12,1.31,,,1140815
1560,中砂,41.16,1.32,6.22,,,1140815
1563,巧新,17.61,4.54,1.27,,,1140815
1568,倉佑,21.06,5.23,1.32,,,1140815
1582,信錦,13.62,8.12,1.54,,,1140815
1583,程泰,58.76,5.79,1.11,,,1140815
1587,吉茂,,1.47,1.93,,,1140815
1589,永冠-KY,,,0.35,,,1140815
1590,亞德客-KY,20.67,2.65,3.44,,,1140815
1597,直得,148.36,0.77,3.43,,,1140815
1598,岱宇,,2.31,0.85,,,1140815
1603,華電,11.79,3.65,0.93,,,1140815
1604,聲寶,14.14,6.06,1.13,,,1140815
1605,華新,120.79,2.18,0.76,,,1140815
1608,華榮,20.88,3.50,1.60,,,1140815
1609,大亞,21.88,2.31,1.87,,,1140815
1611,中電,84.69,5.90,1.05,,,1140815
1612,宏泰,15.96,5.50,1.62,,,1140815
1614,三洋電,35.79,1.51,1.80,,,1140815
1615,大山,11.41,4.99,2.63,,,1140815
1616,億泰,10.71,4.66,3.44,,,1140815
1617,榮星,,3.18,1.33,,,1140815
1618,合機,10.81,3.13,1.54,,,1140815
1626,艾美特-KY,,,0.69,,,1140815
1702,南僑,17.89,6.27,1.00,,,1140815
1707,葡萄王,14.25,5.35,1.95,,,1140815
1708,東鹼,10.29,6.33,1.22,,,1140815
1709,和益,16.59,4.38,0.98,,,1140815
