symbol,lot,odd_lot_unit,industry,group,tradable_flag
1101,1000,1,01,-1,1
1102,1000,1,01,-1,1
1103,1000,1,01,-1,1
1104,1000,1,01,-1,1
1108,1000,1,01,-1,1
1109,1000,1,01,-1,1
1110,1000,1,01,-1,1
1201,1000,1,02,-1,1
1203,1000,1,02,-1,1
1210,1000,1,02,-1,1
1213,1000,1,02,-1,1
1215,1000,1,02,-1,1
1216,1000,1,02,-1,1
1217,1000,1,02,-1,1
1218,1000,1,02,-1,1
1219,1000,1,02,-1,1
1220,1000,1,02,-1,1
1225,1000,1,02,-1,1
1227,1000,1,02,-1,1
1229,1000,1,02,-1,1
1231,1000,1,02,-1,1
1232,1000,1,02,-1,1
1233,1000,1,02,-1,1
1234,1000,1,02,-1,1
1235,1000,1,02,-1,1
1236,1000,1,02,-1,1
1256,1000,1,02,-1,1
1301,1000,1,03,-1,1
1303,1000,1,03,-1,1
1304,1000,1,03,-1,1
1305,1000,1,03,-1,1
1307,1000,1,03,-1,1
1308,1000,1,03,-1,1
1309,1000,1,03,-1,1
1310,1000,1,03,-1,1
1312,1000,1,03,-1,1
1313,1000,1,03,-1,1
1314,1000,1,03,-1,1
1315,1000,1,03,-1,1
1316,1000,1,14,-1,1
1319,1000,1,12,-1,1
1321,1000,1,03,-1,1
1323,1000,1,03,-1,1
1324,1000,1,03,-1,1
1325,1000,1,03,-1,1
1326,1000,1,03,-1,1
1337,1000,1,03,-1,1
1338,1000,1,12,-1,1
1339,1000,1,12,-1,1
1340,1000,1,03,-1,1
1341,1000,1,03,-1,1
1342,1000,1,20,-1,1
1402,1000,1,04,-1,1
1409,1000,1,04,-1,1
1410,1000,1,04,-1,1
1413,1000,1,04,-1,1
1414,1000,1,04,-1,1
1416,1000,1,20,-1,1
1417,1000,1,04,-1,1
1418,1000,1,04,-1,1
1419,1000,1,04,-1,1
1423,1000,1,04,-1,1
1432,1000,1,37,-1,1
1434,1000,1,04,-1,1
1435,1000,1,20,-1,1
1436,1000,1,14,-1,1
1437,1000,1,20,-1,1
1438,1000,1,14,-1,1
1439,1000,1,14,-1,1
1440,1000,1,04,-1,1
1441,1000,1,04,-1,1
1442,1000,1,14,-1,1
1443,1000,1,20,-1,1
1444,1000,1,04,-1,1
1445,1000,1,04,-1,1
1446,1000,1,04,-1,1
1447,1000,1,04,-1,1
1449,1000,1,04,-1,1
1451,1000,1,04,-1,1
1452,1000,1,04,-1,1
1453,1000,1,14,-1,1
1454,1000,1,04,-1,1
1455,1000,1,04,-1,1
1456,1000,1,14,-1,1
1457,1000,1,04,-1,1
1459,1000,1,04,-1,1
1460,1000,1,04,-1,1
1463,1000,1,04,-1,1
1464,1000,1,04,-1,1
1465,1000,1,04,-1,1
1466,1000,1,04,-1,1
1467,1000,1,04,-1,1
1468,1000,1,04,-1,1
1470,1000,1,04,-1,1
1471,1000,1,28,-1,1
1472,1000,1,14,-1,1
1473,1000,1,04,-1,1
1474,1000,1,04,-1,1
1475,1000,1,04,-1,1
1476,1000,1,04,-1,1
1477,1000,1,04,-1,1
1503,1000,1,05,-1,1
1504,1000,1,05,-1,1
1506,1000,1,05,-1,1
1512,1000,1,12,-1,1
1513,1000,1,05,-1,1
1514,1000,1,05,-1,1
1515,1000,1,05,-1,1
1516,1000,1,20,-1,1
1517,1000,1,05,-1,1
1519,1000,1,05,-1,1
1521,1000,1,12,-1,1
1522,1000,1,12,-1,1
1524,1000,1,12,-1,1
1525,1000,1,12,-1,1
1526,1000,1,05,-1,1
1527,1000,1,05,-1,1
1528,1000,1,05,-1,1
1529,1000,1,05,-1,1
1530,1000,1,05,-1,1
1531,1000,1,05,-1,1
1532,1000,1,05,-1,1
1533,1000,1,12,-1,1
1535,1000,1,05,-1,1
1536,1000,1,12,-1,1
1537,1000,1,05,-1,1
1538,1000,1,05,-1,1
1539,1000,1,05,-1,1
1540,1000,1,05,-1,1
1541,1000,1,05,-1,1
1558,1000,1,05,-1,1
1560,1000,1,05,-1,1
1563,1000,1,12,-1,1
1568,1000,1,12,-1,1
1582,1000,1,28,-1,1
1583,1000,1,05,-1,1
1587,1000,1,12,-1,1
1589,1000,1,05,-1,1
1590,1000,1,05,-1,1
1597,1000,1,05,-1,1
1598,1000,1,37,-1,1
1603,1000,1,06,-1,1
1604,1000,1,06,-1,1
1605,1000,1,06,-1,1
1608,1000,1,06,-1,1
1609,1000,1,06,-1,1
1611,1000,1,06,-1,1
1612,1000,1,06,-1,1
1614,1000,1,06,-1,1
1615,1000,1,06,-1,1
1616,1000,1,06,-1,1
1617,1000,1,06,-1,1
1618,1000,1,06,-1,1
1626,1000,1,06,-1,1
1702,1000,1,02,-1,1
1707,1000,1,22,-1,1
1708,1000,1,21,-1,1
1709,1000,1,21,-1,1
1710,1000,1,21,-1,1
1711,1000,1,21,-1,1
1712,1000,1,21,-1,1
1713,1000,1,21,-1,1
1714,1000,1,21,-1,1
1717,1000,1,21,-1,1
1718,1000,1,21,-1,1
1720,1000,1,22,-1,1
1721,1000,1,21,-1,1
1722,1000,1,21,-1,1
1723,1000,1,21,-1,1
1725,1000,1,21,-1,1
1726,1000,1,21,-1,1
1727,1000,1,21,-1,1
1730,1000,1,21,-1,1
1731,1000,1,22,-1,1
1732,1000,1,21,-1,1
1733,1000,1,22,-1,1
1734,1000,1,22,-1,1
1735,1000,1,21,-1,1
1736,1000,1,37,-1,1
1737,1000,1,02,-1,1
1752,1000,1,22,-1,1
1760,1000,1,22,-1,1
1762,1000,1,22,-1,1
1773,1000,1,21,-1,1
1776,1000,1,21,-1,1
1783,1000,1,22,-1,1
1786,1000,1,22,-1,1
1789,1000,1,22,-1,1
1795,1000,1,22,-1,1
1802,1000,1,08,-1,1
1805,1000,1,14,-1,1
1806,1000,1,08,-1,1
1808,1000,1,14,-1,1
1809,1000,1,08,-1,1
1810,1000,1,08,-1,1
1817,1000,1,08,-1,1
1903,1000,1,09,-1,1
1904,1000,1,09,-1,1
1905,1000,1,09,-1,1
1906,1000,1,09,-1,1
1907,1000,1,09,-1,1
1909,1000,1,09,-1,1
2002,1000,1,10,-1,1
2006,1000,1,10,-1,1
2007,1000,1,10,-1,1
2008,1000,1,10,-1,1
2009,1000,1,10,-1,1
2010,1000,1,10,-1,1
2012,1000,1,10,-1,1
2013,1000,1,10,-1,1
2014,1000,1,10,-1,1
2015,1000,1,10,-1,1
2017,1000,1,10,-1,1
2020,1000,1,10,-1,1
2022,1000,1,10,-1,1
2023,1000,1,10,-1,1
2024,1000,1,10,-1,1
2025,1000,1,10,-1,1
2027,1000,1,10,-1,1
2028,1000,1,10,-1,1
2029,1000,1,10,-1,1
2030,1000,1,10,-1,1
2031,1000,1,10,-1,1
2032,1000,1,10,-1,1
2033,1000,1,10,-1,1
2034,1000,1,10,-1,1
2038,1000,1,10,-1,1
2049,1000,1,05,-1,1
2059,1000,1,28,-1,1
2062,1000,1,38,-1,1
2069,1000,1,10,-1,1
2101,1000,1,11,-1,1
2102,1000,1,11,-1,1
2103,1000,1,11,-1,1
2104,1000,1,11,-1,1
2105,1000,1,11,-1,1
2106,1000,1,11,-1,1
2107,1000,1,11,-1,1
2108,1000,1,11,-1,1
2109,1000,1,11,-1,1
2114,1000,1,11,-1,1
2115,1000,1,12,-1,1
2201,1000,1,12,-1,1
2204,1000,1,12,-1,1
2206,1000,1,12,-1,1
2207,1000,1,12,-1,1
2208,1000,1,15,-1,1
2211,1000,1,10,-1,1
2227,1000,1,12,-1,1
2228,1000,1,12,-1,1
2231,1000,1,12,-1,1
2233,1000,1,12,-1,1
2236,1000,1,12,-1,1
2239,1000,1,12,-1,1
2241,1000,1,12,-1,1
2243,1000,1,12,-1,1
2247,1000,1,12,-1,1
2248,1000,1,12,-1,1
2250,1000,1,12,-1,1
2254,1000,1,12,-1,1
2258,1000,1,12,-1,1
2301,1000,1,25,-1,1
2302,1000,1,24,-1,1
2303,1000,1,24,-1,1
2305,1000,1,25,-1,1
2308,1000,1,28,-1,1
2312,1000,1,31,-1,1
2313,1000,1,28,-1,1
2314,1000,1,27,-1,1
2316,1000,1,28,-1,1
2317,1000,1,31,-1,1
2321,1000,1,27,-1,1
2323,1000,1,26,-1,1
2324,1000,1,25,-1,1
2327,1000,1,28,-1,1
2328,1000,1,28,-1,1
2329,1000,1,24,-1,1
2330,1000,1,24,-1,1
2331,1000,1,25,-1,1
2332,1000,1,27,-1,1
2337,1000,1,24,-1,1
2338,1000,1,24,-1,1
2340,1000,1,24,-1,1
2342,1000,1,24,-1,1
2344,1000,1,24,-1,1
2345,1000,1,27,-1,1
2347,1000,1,29,-1,1
2348,1000,1,20,-1,1
2349,1000,1,26,-1,1
2351,1000,1,24,-1,1
2352,1000,1,25,-1,1
2353,1000,1,25,-1,1
2354,1000,1,31,-1,1
2355,1000,1,28,-1,1
2356,1000,1,25,-1,1
2357,1000,1,25,-1,1
2359,1000,1,31,-1,1
2360,1000,1,31,-1,1
2362,1000,1,25,-1,1
2363,1000,1,24,-1,1
2364,1000,1,25,-1,1
2365,1000,1,25,-1,1
2367,1000,1,28,-1,1
2368,1000,1,28,-1,1
2369,1000,1,24,-1,1
2371,1000,1,05,-1,1
2373,1000,1,31,-1,1
2374,1000,1,26,-1,1
2375,1000,1,28,-1,1
2376,1000,1,25,-1,1
2377,1000,1,25,-1,1
2379,1000,1,24,-1,1
2380,1000,1,25,-1,1
2382,1000,1,25,-1,1
2383,1000,1,28,-1,1
2385,1000,1,28,-1,1
2387,1000,1,25,-1,1
2388,1000,1,24,-1,1
2390,1000,1,31,-1,1
2392,1000,1,28,-1,1
2393,1000,1,26,-1,1
2395,1000,1,25,-1,1
2397,1000,1,25,-1,1
2399,1000,1,25,-1,1
2401,1000,1,24,-1,1
2402,1000,1,28,-1,1
2404,1000,1,31,-1,1
2405,1000,1,25,-1,1
2406,1000,1,26,-1,1
2408,1000,1,24,-1,1
2409,1000,1,26,-1,1
2412,1000,1,27,-1,1
2413,1000,1,28,-1,1
2414,1000,1,29,-1,1
2415,1000,1,28,-1,1
2417,1000,1,25,-1,1
2419,1000,1,27,-1,1
2420,1000,1,28,-1,1
2421,1000,1,28,-1,1
2423,1000,1,31,-1,1
2424,1000,1,27,-1,1
2425,1000,1,25,-1,1
2426,1000,1,26,-1,1
2427,1000,1,30,-1,1
2428,1000,1,28,-1,1
2429,1000,1,26,-1,1
2430,1000,1,29,-1,1
2431,1000,1,28,-1,1
2432,1000,1,25,-1,1
2433,1000,1,31,-1,1
